battery_id,source_cycle_index,cycle,discharge_capacity_ah,charge_capacity_ah,avg_voltage_v,max_temperature_c,internal_resistance_mohm,ambient_temperature_c,avg_discharge_current_a,discharge_duration_s
B0006,1,1,2.035337591005598,,3.556946061827572,39.16298653238707,61.23359021000344,24.0,1.990533350635129,3690.234
B0006,3,2,2.0251402460314116,,3.56147580138708,39.2462026826329,61.23359021000344,24.0,1.990277542145709,3672.344
B0006,5,3,2.013326371345464,,3.5667524696413215,38.999202460252846,61.23359021000344,24.0,1.9899467848963859,3651.641
B0006,7,4,2.0132846655407413,,3.5687953371516272,38.843627771866515,61.23359021000344,24.0,1.9896009282099438,3631.563
B0006,9,5,2.000528337624771,,3.563970503289941,38.97798888258284,61.23359021000344,24.0,1.9895483606575701,3629.172
B0006,11,6,2.0138990759931645,,3.5735512387791406,38.83989920742278,61.23359021000344,24.0,1.9901040351037365,3652.281
B0006,13,7,2.013101105626967,,3.5711391343785897,39.04610837498471,61.23359021000344,24.0,1.9900886222380372,3650.828
B0006,15,8,1.9687898262728398,,3.5681507462163036,38.87507521022778,61.23359021000344,24.0,1.9891170520197212,3572.453
B0006,17,9,1.9681661764334244,,3.5692834155812436,38.7260539826455,61.23359021000344,24.0,1.9892116643905464,3550.594
B0006,19,10,1.9572307917560536,,3.563388513484579,38.98629728904917,61.23359021000344,24.0,1.989191243247005,3551.25
B0006,21,11,1.9455991514129352,,3.566658719765511,38.65978861919643,61.23359021000344,24.0,1.9891317699701738,3530.25
B0006,24,12,1.9347505044841131,,3.5687035970122842,38.84979195732924,61.23359021000344,24.0,1.9887805507702212,3491.016
B0006,26,13,1.9232799539368028,,3.569207084156356,38.75128344015104,61.23359021000344,24.0,1.9887320866401275,3470.281
B0006,28,14,1.911889930948487,,3.5659271296109383,38.76853764058789,61.23359021000344,24.0,1.9887200290368634,3470.0
B0006,30,15,1.9010667141979305,,3.5612417270649486,38.84686112344348,61.23359021000344,24.0,1.9887874042287874,3450.297
B0006,32,16,1.8891989948061458,,3.557881987836072,38.865889781652804,61.23359021000344,24.0,1.9885910895930397,3429.407
B0006,34,17,1.878278372248849,,3.56282437243777,38.647578733807656,61.23359021000344,24.0,1.9884892463229662,3409.484
B0006,36,18,1.8675697161520206,,3.5591953280168633,38.79218188173866,61.23359021000344,24.0,1.9883474274444874,3390.422
B0006,38,19,1.8675892574453767,,3.5580906165580983,38.77022223929529,61.23359021000344,24.0,1.9774549866256104,3390.281
B0006,41,20,1.979626548250818,,3.565899462157853,37.54320599748628,61.23359021000344,24.0,1.9892347833261184,3591.734
B0006,45,21,1.9575499080884022,,3.570814209348872,37.90362577530197,60.62991544979002,24.0,1.9890474874073771,3552.297
