battery_id,source_cycle_index,cycle,discharge_capacity_ah,charge_capacity_ah,avg_voltage_v,max_temperature_c,internal_resistance_mohm,ambient_temperature_c,avg_discharge_current_a,discharge_duration_s
B0007,1,1,1.89105229539079,,3.522006703394617,40.59042914535701,38.168136099460845,24.0,1.8691188840185695,3690.234
B0007,3,2,1.880637027686859,,3.5319490434317116,40.26023408628707,38.168136099460845,24.0,1.8680422715350309,3672.344
B0007,5,3,1.8806626717011388,,3.5344025220217845,40.27558633997852,38.168136099460845,24.0,1.877784734502072,3651.641
B0007,7,4,1.8807709009833444,,3.53492504932652,40.29314715799111,38.168136099460845,24.0,1.8875256535871228,3631.563
B0007,9,5,1.8794508728285058,,3.534536640068787,40.268872630219796,38.168136099460845,24.0,1.8871559747738404,3629.172
B0007,11,6,1.8807003517117404,,3.5411626672196816,39.67620802332074,38.168136099460845,24.0,1.8675154082122565,3652.281
B0007,13,7,1.8799352523566075,,3.541165612176161,39.803817662926164,38.168136099460845,24.0,1.8673304059806155,3650.828
B0007,15,8,1.8815088124038797,,3.5494581176357975,39.88810476942348,38.168136099460845,24.0,1.9063154499484403,3572.453
B0007,17,9,1.8696907870385844,,3.5502805464079743,39.95162250671474,38.168136099460845,24.0,1.9164259300038171,3550.594
B0007,19,10,1.870052380139199,,3.5481347674910286,40.052021854718284,38.168136099460845,24.0,1.9165016044519978,3551.25
B0007,21,11,1.8700442394188577,,3.5484272148956437,40.1213838436794,38.168136099460845,24.0,1.926771167846017,3530.25
B0007,24,12,1.8596518987766364,,3.5560433603714667,40.174657039770814,38.168136099460845,24.0,1.936979366983281,3491.016
B0007,26,13,1.8590746560862206,,3.5604849642800684,40.016434730174936,38.168136099460845,24.0,1.947065774665518,3470.281
B0007,28,14,1.8590084577709232,,3.5562872542469752,40.16569230743226,38.168136099460845,24.0,1.946961601670498,3470.0
B0007,30,15,1.8593622586957048,,3.5647746218187324,39.46139677634257,38.168136099460845,24.0,1.946851050742258,3450.297
B0007,32,16,1.8587355450601035,,3.565438928797127,39.5636595172155,38.168136099460845,24.0,1.9574063719005568,3429.407
B0007,34,17,1.847817291322145,,3.565961679108638,39.628948319501816,38.168136099460845,24.0,1.9680136940585706,3409.484
B0007,36,18,1.8485252916137047,,3.572496559005355,39.225347214914876,38.168136099460845,24.0,1.9680499927642312,3390.422
B0007,38,19,1.848378951850034,,3.5699492020415136,39.4126321606434,38.168136099460845,24.0,1.9680218912213907,3390.281
B0007,41,20,1.8807805437609766,,3.5464338449590023,39.95874037686836,38.168136099460845,24.0,1.9066656790606797,3591.734
B0007,45,21,1.8814721597443598,,3.5531968089006387,40.31302300333008,39.71312292013592,24.0,1.9267118604677658,3552.297
B0007,49,22,1.8810954313244785,,3.5599340214678805,39.359447242364645,38.40146399106517,24.0,1.9260915660103672,3531.578
B0007,53,23,1.8710089649779995,,3.5595604968237993,39.454159451189874,37.105177203732296,24.0,1.9468340181835688,3492.907
B0007,57,24,1.8701995151941375,,3.552385161941813,39.641748274009444,37.833946033938986,24.0,1.9364196896718646,3511.594
B0007,61,25,1.8706715362800985,,3.5707670304281067,38.86906912217273,37.520425405365856,24.0,1.9675984733558025,3431.9370000000054
B0007,65,26,1.8596124644020169,,3.5657224847439295,39.11839966443177,37.39727137150672,24.0,1.9680130544442065,3431.125
B0007,69,27,1.860033909718346,,3.5712835067487094,38.68010761281634,35.919680098864276,24.0,1.9675572757550353,3412.406
B0007,73,28,1.8591653109160768,,3.5679716274891398,38.863045678198645,37.38579892114978,24.0,1.967618505240168,3410.688
B0007,77,29,1.8481398178778288,,3.5646314038791784,39.14531169811219,37.89058841967389,24.0,1.9678214300979182,3410.718
B0007,81,30,1.849201702126164,,3.568983888921194,38.8380564174779,37.15722957533256,24.0,1.9675056354779956,3392.719
B0007,85,31,1.8834677437950846,,3.564620688944316,38.95965174080089,41.05669646645134,24.0,1.9683447778186904,3470.672
B0007,89,32,1.8628211117905844,,3.5694388142217837,39.053875772291974,41.75940541455594,24.0,1.9788067754387157,3414.109
B0007,93,33,1.852085039652352,,3.568742147335628,38.699551697978606,42.32704798626884,24.0,1.9785908218423578,3395.219
B0007,97,34,1.8469504648208708,,3.5642424070467817,38.6052414906155,39.67286398299121,24.0,1.9784335668087778,3386.0
B0007,101,35,1.836828431169018,,3.5653038098527605,38.42604747702835,40.46536725285732,24.0,1.9781601679702336,3368.187
B0007,105,36,1.8371619619672275,,3.565432167703823,39.0468968949422,40.83099544598788,24.0,1.9783765899690637,3368.266
B0007,109,37,1.8316722583718854,,3.5622303163451425,38.836764958613884,40.78701229987664,24.0,1.9780771457931066,3358.719
B0007,113,38,1.8211470951317783,,3.564481026852489,38.49981470604549,39.81735939635393,24.0,1.9780971417908424,3339.5
B0007,117,39,1.816506091511515,,3.561614556780574,38.582340147970775,38.79098770177327,24.0,1.977978349880126,3331.265
B0007,121,40,1.8113815601504555,,3.5630587459190144,38.787499833494046,41.35849902166442,24.0,1.9784334957218421,3321.188
B0007,125,41,1.8116056333939583,,3.5629534367704405,39.31221126031847,41.988132164087816,24.0,1.9782873833989176,3321.844
B0007,129,42,1.8060548955557403,,3.563446012076242,39.40567993360536,41.0635565050997,24.0,1.9781961432676651,3311.828
B0007,133,43,1.8132041826994056,,3.563998342345823,39.32802757827611,39.7095688006817,24.0,1.9670969462670498,3327.391
B0007,135,44,1.8062641938283535,,3.5604902283110547,38.6112528181758,47.25020480421689,24.0,1.9781214643703728,3312.078
